Unnamed: 0,t,Ii,I_ss,V0_Vm,V_E,tms
12121,1.212099999999883,-356.9260960969032,356.9260960969032,-150.0,-150.0,12.099999999882982
12122,1.212199999999883,-351.57314219597504,351.57314219597504,-150.0,-150.0,12.199999999882971
12123,1.212299999999883,-346.3230071827275,346.3230071827275,-150.0,-150.0,12.29999999988296
12124,1.212399999999883,-341.1737474298602,341.1737474298602,-150.0,-150.0,12.399999999882949
12125,1.212499999999883,-336.1234569027932,336.1234569027932,-150.0,-150.0,12.499999999882938
12126,1.2125999999998829,-331.17026498675017,331.17026498675017,-150.0,-150.0,12.599999999882927
12127,1.2126999999998829,-326.31233669263446,326.31233669263446,-150.0,-150.0,12.699999999882916
12128,1.2127999999998829,-321.54787258893765,321.54787258893765,-150.0,-150.0,12.799999999882905
12129,1.2128999999998828,-316.87510739798404,316.87510739798404,-150.0,-150.0,12.899999999882894
12130,1.2129999999998828,-312.2923082489816,312.2923082489816,-150.0,-150.0,12.999999999882883
12131,1.2130999999998828,-307.7977762829589,307.7977762829589,-150.0,-150.0,13.099999999882872
12132,1.2131999999998828,-303.38984552552296,303.38984552552296,-150.0,-150.0,13.199999999882861
12133,1.2132999999998828,-299.06688014996104,299.06688014996104,-150.0,-150.0,13.29999999988285
12134,1.2133999999998828,-294.82727571140265,294.82727571140265,-150.0,-150.0,13.399999999882839
12135,1.2134999999998828,-290.66945938673047,290.66945938673047,-150.0,-150.0,13.499999999882828
12136,1.2135999999998828,-286.5918869227555,286.5918869227555,-150.0,-150.0,13.599999999882817
12137,1.2136999999998828,-282.59304420666183,282.59304420666183,-150.0,-150.0,13.699999999882806
12138,1.2137999999998828,-278.6714456419273,278.6714456419273,-150.0,-150.0,13.799999999882795
12139,1.2138999999998827,-274.825633393618,274.825633393618,-150.0,-150.0,13.899999999882784
12140,1.2139999999998827,-271.0541780588256,271.0541780588256,-150.0,-150.0,13.999999999882773
12141,1.2140999999998827,-267.3556767087471,267.3556767087471,-150.0,-150.0,14.099999999882762
12142,1.2141999999998827,-263.7287533565108,263.7287533565108,-150.0,-150.0,14.19999999988275
12143,1.2142999999998827,-260.1720581116028,260.1720581116028,-150.0,-150.0,14.29999999988274
12144,1.214399999999883,-256.68426639351804,256.68426639351804,-150.0,-150.0,14.39999999988295
12145,1.214499999999883,-253.26407925572363,253.26407925572363,-150.0,-150.0,14.49999999988294
12146,1.2145999999998829,-249.91022161872584,249.91022161872584,-150.0,-150.0,14.599999999882929
12147,1.2146999999998829,-246.62144333791977,246.62144333791977,-150.0,-150.0,14.699999999882918
12148,1.2147999999998826,-243.3965175104552,243.3965175104552,-150.0,-150.0,14.799999999882685
12149,1.2148999999998826,-240.23424050878177,240.23424050878177,-150.0,-150.0,14.899999999882674
12150,1.2149999999998826,-237.13343177493795,237.13343177493795,-150.0,-150.0,14.999999999882663
12151,1.2150999999998826,-234.0929326062586,234.0929326062586,-150.0,-150.0,15.099999999882652
12152,1.2151999999998826,-231.1116068162528,231.1116068162528,-150.0,-150.0,15.19999999988264
12153,1.2152999999998826,-228.1883392449637,228.1883392449637,-150.0,-150.0,15.29999999988263
12154,1.2153999999998826,-225.32203601460407,225.32203601460407,-150.0,-150.0,15.399999999882619
12155,1.2154999999998826,-222.51162413152144,222.51162413152144,-150.0,-150.0,15.499999999882608
12156,1.2155999999998826,-219.7560505521361,219.7560505521361,-150.0,-150.0,15.599999999882597
12157,1.2156999999998823,-217.05428240851583,217.05428240851583,-150.0,-150.0,15.699999999882364
12158,1.2157999999998823,-214.4053064245556,214.4053064245556,-150.0,-150.0,15.799999999882353
12159,1.2158999999998823,-211.80812794684005,211.80812794684005,-150.0,-150.0,15.899999999882342
